lichte_höhe;A;B;C;E;M;D
1880;253;1500;127;1003;750;250
1890;253;1500;137;1003;750;250
1900;253;1500;147;1003;750;250
1910;253;1500;157;1003;750;250
1920;253;1500;167;1003;750;250
1930;253;1500;177;1003;750;250
1940;253;1500;187;1003;750;250
1950;253;1500;197;1003;750;250
1960;253;1500;207;1003;750;250
1970;253;1500;217;1003;750;250
1980;253;1500;227;1003;750;250
1990;253;1500;237;1003;750;250
2000;253;1500;247;1003;750;250
2001;253;1620;128;1003;810;250
2010;253;1620;137;1003;810;250
2020;253;1620;147;1003;810;250
2030;253;1620;157;1003;810;250
2040;253;1620;167;1003;810;250
2050;253;1620;177;1003;810;250
2060;253;1620;187;1003;810;250
2070;253;1620;197;1003;810;250
2080;253;1620;207;1003;810;250
2090;253;1620;217;1003;810;250
2100;253;1620;227;1003;810;250
2110;253;1620;237;1003;810;250
2120;253;1620;247;1003;810;250
2130;253;1620;257;1003;810;250
2140;253;1620;267;1003;810;250
2150;253;1620;277;1003;810;250
