Bandseite,L
Bandtyp,KAULS Objektband B2025/X Edelstahl 100/25mm
Besonderes,0
Betriebsauftrag,NA
Betriebsauftragsposition,NA
Bodeneinstand,0
Brandschutz,None
Drückergarnitur,Glutz 5071 Memphis
Einlaufseite_von_aussen,NA
Farbe_Bandseite,Uni
Farbe_Futterseite,Uni
Haus,NA
Lichtbreite,NA
Lichthöhe,NA
Maueraufbau_Bandseite,0
Maueraufbau_Futterseite,0
Mauerlichtbreite_Massaufnahme,NA
Mauerlichtbreite_plan,840
Mauerlichthöhe_Massaufnahme,NA
Mauerlichthöhe_Massaufnahme_ab_MtR,NA
Mauerlichthöhe_plan,2140
Mauerstärke_Massaufnahme,NA
Mauerstärke_plan,NA
Montageart,Blockrahmen
Muschelgriff_typ,NA
NPK_Pos.,NA
Rahmenfalzbreite,15
Rahmenfalztiefe,38
Rahmenstärke,NA
Schiebtürbeschlag,NA
Schild_Rosette_Druecker,Glutz 5620C glide DH 18mm
Schild_Rosette_Zylinder,Glutz Topaz 5332 C_BB
Schliessblechtyp,NA
Schloss,NA
Schlosstyp,1101_BB
Schwelle,None
Schwellentyp,None
Spion,NA
Typ,Rahmentüre
Türblatt_Falzbreite,NA
Türblatt_Falztiefe,NA
Türblatt_Farbe_Bandseite,Uni
Türblatt_Farbe_Futterseite,Uni
Türblattdicke,51
Türblattkanten,Uni
Türblattkern,LS
Türblatttyp,LS51/SM/EI00
Türschliesser,NA
Umfassungstyp,Rahmen
Zargen Bemerkung,NA
Zargen E-Mass,1003
Zargen-Profil,NA
Zargenfalzbreite,NA
Zargenfalztiefe,NA
Zargentiefe,NA
