Bandseite,L
Bandtyp,KAULS Objektband B2025/X Edelstahl 100/25mm
Betriebsauftrag,NA
Besonderes,0 
Bodeneinstand,0
Brandschutz,EI30
Drückergarnitur,NA
Einlaufseite_von_aussen,NA
Farbe_Bandseite,NCS S 5010-Y30R matt (Ocker)
Farbe_Futterseite,NCS S 5010-Y30R matt (Ocker)
Haus,NA
Lichtbreite,NA
Lichthöhe,NA
Montageart,Blendrahmen
Maueraufbau_Bandseite,0
Maueraufbau_Futterseite,0
Mauerlichthöhe_Massaufnahme,
Mauerlichthöhe_Massaufnahme_ab_MtR,
Mauerlichthöhe_plan,2140
Mauerlichtbreite_Massaufnahme,
Mauerlichtbreite_plan,840
Mauerstärke_Massaufnahme,
Mauerstärke_plan,250
Muschelgriff_typ,NA
Rahmenfalztiefe,38
Rahmenfalzbreite,15
Schiebtürbeschlag,NA
Schloss,NA
Schlosstyp,1102_RZ
Schwelle,0 
Schwellentyp,NA
Typ,Rahmentüre
Türblattdicke,NA
Türblattkern,NA
Türblatttyp,NA
Umfassungstyp,NA
Zargen-Profil,NA
Zargenfalztiefe,NA
Zargenfalzbreite,NA
