Bandseite,L
Bandtyp,KAULS Objektband B2025/X Edelstahl 100/25mm
Betriebsauftrag,NA
Betriebsauftragsposition,NA
Besonderes,0 
Bodeneinstand,0
Brandschutz,EI30
Drückergarnitur,NA
Einlaufseite_von_aussen,NA
Farbe_Bandseite,NCS S 5010-Y30R matt (Ocker)
Farbe_Futterseite,NCS S 5010-Y30R matt (Ocker)
Haus,NA
Lichtbreite,NA
Lichthöhe,NA
Montageart,Blendrahmen
Maueraufbau_Bandseite,0
Maueraufbau_Futterseite,0
Mauerlichthöhe_Massaufnahme,NA
Mauerlichthöhe_Massaufnahme_ab_MtR,NA
Mauerlichthöhe_plan,2140
Mauerlichtbreite_Massaufnahme,NA
Mauerlichtbreite_plan,840
Mauerstärke_Massaufnahme,NA
Mauerstärke_plan,250
Muschelgriff_typ,NA
NPK_Pos.,NA
Rahmenfalztiefe,38
Rahmenfalzbreite,15
Schiebtürbeschlag,NA
Schloss,NA
Schlosstyp,1102_RZ
Schwelle,30 
Schwellentyp,30 x 20 CNS
Typ,Rahmentüre
Türblattdicke,NA
Türblattkern,SP
Türblatttyp,TB Wirus P1 Vollspan 42mm EI30
Türschliesser,NA
Schliessblechtyp,NA
Spion,NA
Umfassungstyp,Rahmen
Zargen E-Mass,1003
Zargen-Profil,NA
Zargenfalztiefe,NA
Zargenfalzbreite,NA
