Bandseite,L
Bandtyp,SFS_HE18EI30-M10X1X30-FIX
Betriebsauftrag,NA
Betriebsauftragsposition,NA
Besonderes,0 
Bodeneinstand,10
Brandschutz,EI30
Drückergarnitur,NA
Einlaufseite_von_aussen,NA
Farbe_Bandseite,NCS S 0500-N (weiss)
Farbe_Futterseite,NCS S 5010-Y30R matt (Ocker)
Haus,NA
Lichtbreite,NA
Lichthöhe,NA
Montageart,Blendrahmen
Maueraufbau_Bandseite,0
Maueraufbau_Futterseite,0
Mauerlichthöhe_Massaufnahme,NA
Mauerlichthöhe_Massaufnahme_ab_MtR,NA
Mauerlichthöhe_plan,2140
Mauerlichtbreite_Massaufnahme,NA
Mauerlichtbreite_plan,940
Mauerstärke_Massaufnahme,NA
Mauerstärke_plan,250
Muschelgriff_typ,NA
NPK_Pos.,NA
Rahmenfalztiefe,30
Rahmenfalzbreite,15
Schiebtürbeschlag,NA
Schloss,NA
Schlosstyp,1834_RZ
Schwelle,40
Schwellentyp,NA
Typ,Rahmentüre Wohnung
Türblattdicke,NA
Türblattkern,NA
Türblatttyp,NA
Türschliesser,NA
Schliessblechtyp,NA
Spion,NA
Umfassungstyp,Rahmen
Zargen E-Mass,1003
Zargen-Profil,NA
Zargenfalztiefe,NA
Zargenfalzbreite,NA
