Bandseite,NA
Bandtyp,NA
Betriebsauftrag,NA
Besonderes,0
Bodeneinstand,10
Brandschutz,0
Drückergarnitur,NA
Einlaufseite_von_aussen,L
Farbe_Bandseite,NA
Farbe_Futterseite,NA
Haus,NA
Lichtbreite,NA
Lichthöhe,NA
Maueraufbau_Bandseite,0
Maueraufbau_Futterseite,0
Mauerlichthöhe_Massaufnahme,
Mauerlichthöhe_Massaufnahme_ab_MtR,
Mauerlichthöhe_plan,2140
Mauerlichtbreite_Massaufnahme,
Mauerlichtbreite_plan,880
Mauerstärke_Massaufnahme,
Mauerstärke_plan,150
Muschelgriff_typ,0
Rahmenfalztiefe,NA
Rahmenfalzbreite,NA
Schiebtürbeschlag,OPK
Schloss,0
Schlosstyp,NA
Schwelle,0 
Schwellentyp,NA
Typ,Schiebetüre
Türblattdicke,NA
Türblattkern,NA
Türblatttyp,NA
Umfassungstyp,Rahmen
Zargen-Profil,NA
Zargenfalztiefe,NA
Zargenfalzbreite,NA
