Bandseite,L
Bandtyp,NA
Betriebsauftrag,NA
Besonderes, 
Bodeneinstand,NA
Brandschutz,EI30
Drückergarnitur,NA
Einlaufseite_von_aussen,NA
Farbe_Bandseite,NA
Farbe_Futterseite,NA
Haus,NA
Lichtbreite,NA
Lichthöhe,NA
Maueraufbau_Bandseite,2.5
Maueraufbau_Futterseite,0
Mauerlichthöhe_Massaufnahme,
Mauerlichthöhe_Massaufnahme_ab_MtR,
Mauerlichthöhe_plan,2140
Mauerlichtbreite_Massaufnahme,
Mauerlichtbreite_plan,1080
Mauerstärke_Massaufnahme,
Mauerstärke_plan,250
Muschelgriff_typ,NA
Rahmenfalztiefe,NA
Rahmenfalzbreite,NA
Schiebtürbeschlag,NA
Schloss,NA
Schlosstyp,NA
Schwelle, 
Schwellentyp,NA
Typ,Rahmentüre
Türblattdicke,NA
Türblattkern,NA
Türblatttyp,NA
Umfassungstyp,NA
Zargen-Profil,NA
Zargenfalztiefe,NA
Zargenfalzbreite,NA
