Bandseite,L
Bandtyp,Elkuch 18-4D
Betriebsauftrag,NA
Betriebsauftragsposition,NA
Besonderes,NA 
Bodeneinstand,40
Brandschutz,EI30
Drückergarnitur,0
Einlaufseite_von_aussen,NA
Farbe_Bandseite,RAL9016
Farbe_Futterseite,RAL9016
Haus,NA
Lichtbreite,NA
Lichthöhe,NA
Montageart,NA
Maueraufbau_Bandseite,10
Maueraufbau_Futterseite,10
Mauerlichthöhe_Massaufnahme,NA
Mauerlichthöhe_Massaufnahme_ab_MtR,NA
Mauerlichthöhe_plan,2140
Mauerlichtbreite_Massaufnahme,NA
Mauerlichtbreite_plan,1080
Mauerstärke_Massaufnahme,
Mauerstärke_plan,250
Muschelgriff_typ,NA
NPK_Pos.,NA
Rahmenfalztiefe,NA
Rahmenfalzbreite,NA
Schiebtürbeschlag,NA
Schloss,NA
Schlosstyp,1834_RZ
Schwelle,40 
Schwellentyp,SD-40
Typ,UDS
Türblattdicke,58
Türblattkern,SP
Türblatttyp,P56/Kork
Türschliesser,NA
Schliessblechtyp,NA
Spion,NA
Umfassungstyp,Stahlzarge
Zargen E-Mass,1003
Zargen-Profil,UDS
Zargenfalztiefe,49
Zargenfalzbreite,17
